Class,Solution treatment time (h),Solution treatment temperature (¡æ),Solution cooling way,Aging treatment time (h),Aging treatment temperature (¡æ),Aging cooling way,2nd aging treatment time (h),2nd aging treatment temperature (¡æ),2nd aging cooling way,C (mass%),Si (mass%),Ni (mass%),Mo (mass%),W (mass%),Al (mass%),N (mass%),Nb+Ta (mass%),B (mass%),V (mass%),Ti (mass%),Fe (mass%),Zr (mass%),Sn (mass%),Test temperature (¡æ),Test stress (MPa),Creep rupture life (h)
,1.7551358,1041.6721,1.4547389,0.26902705,670.2719,0.99588656,0.07047206,6.773396,0.00991565,0.061649762,0.35909647,0.016571809,0.5314363,0.009740651,5.8783226,0.000464644,0.8627728,0.001620111,0.012960874,83.9974,0.008679538,3.4192595,4.004949,592.7979,425.2995,134.30939
,1.9744711,1048.8175,1.3670528,0.1249969,681.43414,0.9989515,0.013925135,2.112521,0.00511533,0.069074824,0.36975875,0.000220236,0.5244212,0.005819619,5.8382483,0.000220098,0.8671322,0.000766371,0.001516548,83.90452,0.00608374,3.4663558,4.0157695,586.0879,463.5346,68.969124
,1.9989598,1058.9442,1.334399,0.041165948,694.8176,0.9998751,0.000961125,0.5337477,0.001945585,0.0779994,0.39310715,1.25E-06,0.5429518,0.002517432,5.806889,5.92E-05,0.92320955,0.000252744,6.88E-05,83.670876,0.003748986,3.5595727,4.0193152,574.3733,500.01407,28.915352
,0.004256427,1027.9803,1.3511515,0.37274957,627.3999,0.99083865,0.8488387,11.895483,0.019134432,0.05294452,0.3368902,0.6999485,0.49826902,0.021916479,5.8945827,0.000873461,0.7568406,0.004175688,0.1320893,83.77827,0.023747819,3.4601717,3.9848125,602.47644,369.4132,634.1005
,0.023618817,1056.589,1.2210236,0.086809695,589.3058,0.9992064,0.015421212,1.5063646,0.004166037,0.06792735,0.3996395,0.6983767,0.49438086,0.008059949,5.820685,2.24E-05,0.81402314,0.000450954,0.000419666,83.57705,0.011683974,3.4600263,4.018715,587.91113,477.46146,363.25198
,0.007965326,0.5284703,0.015919447,4.5282083,1.8429139,0.000611186,5.9294477,17.686626,0.009408653,0.041181665,0.001359652,9.18E-07,0.003865528,0.015544027,5.8992133,0.015414702,0.007162005,0.001854604,4.1964507,89.55391,0.082878195,0.004155397,0.000958083,603.795,132.39108,3.405674
,1.9989667,1045.4982,1.5490546,0.13802052,703.92957,0.9989134,0.01578927,2.630816,0.007008255,0.06777849,0.35127792,1.94E-06,0.56880486,0.00576365,5.845257,0.000898565,0.93527,0.000883113,0.004166788,84.03957,0.005118449,3.5952845,4.011839,595.4881,441.68597,39.643753
,9.54E-06,1064.3043,1.0717118,0.11601448,664.46045,0.99871427,0.19815415,1.5491226,0.007359475,0.060391866,0.35540256,0.7,0.4805452,0.017165303,5.8367844,0.00010054,0.7058452,0.000790938,0.005326701,83.47031,0.014592263,3.7026043,4.0176077,592.7816,373.69632,745.461
,0.000197232,1026.8593,1.2019422,0.30377805,645.4762,0.9924477,0.9532377,6.8890533,0.021552235,0.04998382,0.31010103,0.69999874,0.4690899,0.024588376,5.889167,0.00092658,0.75877196,0.003382438,0.117658265,83.85042,0.025199994,3.5070558,3.983663,608.31854,338.91605,712.4075
,0.012255371,0.9077239,0.016267061,2.4703875,1.927706,0.00163886,6.1828628,9.120377,0.003430098,0.030927602,0.001612132,5.57E-06,0.00398109,0.014534891,5.8915,0.012182424,0.006793672,0.001160286,4.141875,89.52427,0.07617239,0.00586915,0.001149892,592.3135,127.38495,10.100258
,0.110831976,1025.9288,1.3991369,0.32111555,629.9844,0.9911448,0.3646195,11.82711,0.0195162,0.056085307,0.35694894,0.6937701,0.4937852,0.017624617,5.895428,0.000487798,0.80085737,0.002744752,0.041173957,83.860565,0.017785896,3.358554,3.9938998,604.1748,405.776,429.88657
,1.9914877,1057.6484,1.3529651,0.062263012,681.0033,0.9996518,0.003345311,1.0170112,0.002711415,0.073730156,0.3841678,2.96E-05,0.53281367,0.003944576,5.8222685,0.000105126,0.8763572,0.000393171,0.000219855,83.80305,0.004894964,3.5105817,4.018491,582.50305,482.264,41.37691
,0.012778938,1049.3004,1.283458,0.16352385,595.3277,0.99779,0.066658854,3.6014514,0.005999863,0.061600678,0.37771142,0.6995061,0.5052234,0.010705441,5.851106,8.50E-05,0.78668725,0.000990295,0.00368535,83.66731,0.014034975,3.4438653,4.014835,596.0877,438.6555,453.75192
,0.001443505,0.036177635,0.003698856,4.7576756,0.34380376,3.03E-05,4.480958,11.22019,0.004164517,0.03209637,0.000236098,2.09E-08,0.000964832,0.010892451,5.9052043,0.012513456,0.001385045,0.000922475,4.222497,89.64005,0.08526749,0.000323534,5.76E-05,608.904,119.302444,0.36690512
,1.9358417,1048.5955,1.4212899,0.1903519,673.54266,0.998016,0.031074882,4.1232734,0.006839365,0.064354755,0.35951808,0.001274604,0.53526884,0.007468551,5.8647366,0.000402972,0.8602591,0.001333145,0.005494366,83.97058,0.007388638,3.4534116,4.0100856,590.71606,437.98178,101.09199
,1.7802896,1039.6692,1.4957358,0.2938226,666.1098,0.9949726,0.09614378,11.003419,0.011132658,0.058737405,0.34853166,0.014793897,0.5293816,0.009805083,5.8965964,0.000847912,0.85883564,0.002099447,0.037366074,83.9524,0.010295239,3.430931,3.9942553,596.9486,410.96375,160.93687
,0.18228829,1021.0227,1.4013822,0.4089594,620.18616,0.9887445,0.36557168,16.872152,0.021164566,0.055785347,0.35285276,0.6839328,0.50885296,0.01647216,5.9084687,0.000645615,0.79459894,0.00277938,0.061830398,83.8513,0.020457618,3.3308825,3.9840815,603.8366,398.46188,374.308
,0.014095902,0.79497457,0.017259479,3.0222476,1.8677205,0.001155555,6.5123186,11.34681,0.004099906,0.033161502,0.001663157,3.11E-06,0.003798223,0.015328616,5.896237,0.013204491,0.006866229,0.001327228,4.157097,89.553375,0.07692489,0.00524056,0.000976174,595.2863,127.789,7.058229
,0.00556463,0.1106894,0.005758971,3.294891,0.5597654,0.000110507,4.8280373,10.324818,0.002778143,0.02676032,0.000575918,1.25E-07,0.00127461,0.01208806,5.908548,0.010322318,0.002250719,0.000888397,4.206975,89.600235,0.08397772,0.001023769,0.000143766,602.38824,121.560814,0.98843014
,0.011489928,1053.2346,1.2371997,0.12176782,591.47675,0.99842846,0.042517483,2.7433467,0.006238908,0.063847445,0.38503128,0.699496,0.49700123,0.009344727,5.8367705,4.49E-05,0.7825383,0.000777714,0.001613239,83.66625,0.013618039,3.4450598,4.0171447,594.6081,450.45587,459.31772
,0.000723124,1034.5737,1.2686932,0.26699007,651.68976,0.99462044,0.72877556,7.2717304,0.015793681,0.05380404,0.32677284,0.6999947,0.4857269,0.023082733,5.8808966,0.000638476,0.7403077,0.003705029,0.07275105,83.722595,0.018486593,3.5124779,3.9990437,602.3231,368.7126,669.7693
,1.9995859,1046.45,1.6844504,0.102348626,719.3687,0.99892217,0.017823279,2.6484137,0.008474201,0.067432895,0.3498508,3.34E-07,0.57982486,0.004909426,5.8405576,0.001389371,0.95237166,0.000984991,0.006654279,84.07763,0.004095448,3.6527395,4.0105624,596.81696,445.7786,26.662573
,1.9990728,1054.0275,1.4731396,0.096687675,705.2169,0.9993839,0.007420778,1.6733062,0.004556865,0.06857383,0.3658058,1.15E-06,0.5643785,0.004065663,5.8341503,0.000406802,0.9278617,0.000573642,0.00138645,83.965004,0.004343831,3.605318,4.0160103,591.16766,458.8304,32.857616
,0.23227596,989.1297,1.5864832,0.9370491,598.63654,0.9716755,1.4356389,32.832954,0.056845605,0.050775476,0.3275741,0.67536306,0.49438435,0.03382802,5.959161,0.002920885,0.8289932,0.006968525,0.5007149,84.14493,0.027718354,3.1848285,3.8779168,609.1074,355.26233,495.5475
,0.00440973,1045.8955,1.2876093,0.25198907,614.9785,0.9964156,0.20779371,5.4210477,0.010958463,0.057860892,0.35273486,0.69991,0.52046263,0.016599089,5.866486,0.000200091,0.77908117,0.001320314,0.015314486,83.769875,0.015796477,3.4769466,4.011513,599.2671,392.3248,583.53046
,0.46540004,1042.8529,1.3609447,0.23468435,641.3173,0.99560046,0.091037154,6.2203784,0.008275509,0.061792545,0.36572346,0.57185674,0.5144343,0.01283738,5.879273,0.000213706,0.8265545,0.001490947,0.008468085,83.855415,0.014300098,3.394178,4.0101743,593.0646,431.82404,283.50354
,1.9764757,1027.5656,1.5680726,0.32788068,684.15063,0.9929168,0.12470633,9.983736,0.019977361,0.05959203,0.33271334,0.000261083,0.5279167,0.009185255,5.9092913,0.002264486,0.880172,0.002782685,0.07104667,84.07246,0.008546116,3.3651538,3.971419,602.0463,399.1957,109.22671
,0.006817102,0.49010396,0.01446265,4.742959,1.758925,0.000488162,6.4966755,19.327919,0.008937418,0.041613795,0.001228525,8.34E-07,0.003655624,0.018349439,5.8975205,0.015998889,0.00611304,0.001839419,4.199059,89.56006,0.081846334,0.003404737,0.000691756,603.0496,131.17444,3.309668
,0.004303217,0.09797573,0.005895764,4.041697,0.5508846,9.98E-05,4.978837,11.637571,0.003797382,0.030072976,0.000546718,1.04E-07,0.001412964,0.011289209,5.9060607,0.010830934,0.002534646,0.001027579,4.2102156,89.592255,0.07933226,0.000959039,0.000144845,606.77954,123.62766,0.8582324
,0.102452636,1063.8522,1.1588624,0.025716424,568.3603,0.9998189,0.001716614,0.35409868,0.001817644,0.07570038,0.42655516,0.68129766,0.46200505,0.00506863,5.793033,2.61E-06,0.85138464,0.0001609,8.82E-06,83.452034,0.008631536,3.4536572,4.019807,571.79144,516.52814,221.84471
,1.4473927,1010.5776,1.6899562,0.8494288,628.93097,0.9796145,0.7541165,29.72102,0.045165718,0.054015495,0.32423773,0.08382443,0.5095995,0.024360448,5.9598575,0.00384137,0.8724349,0.006722709,0.38329,84.16458,0.016759625,3.204383,3.8458276,606.7236,364.7123,296.24924
,5.69E-05,1050.5422,1.1476078,0.15800446,664.68054,0.9970692,0.43429136,3.062959,0.010717601,0.055021,0.33228728,0.6999998,0.4733955,0.021419495,5.8637934,0.00026475,0.7074551,0.001921363,0.028147152,83.64415,0.016572116,3.6224093,4.011316,599.60925,356.9918,727.4009
,0.000829458,1035.1895,1.3005191,0.26136637,654.11993,0.9943588,0.7293731,6.456765,0.015115351,0.053116184,0.33745602,0.69999397,0.49035448,0.024060667,5.881053,0.00054765,0.74448097,0.003319116,0.07451582,83.76146,0.019899592,3.5543165,3.9973514,601.10724,373.43057,677.966
,1.9998977,1057.7313,1.6047933,0.059840083,723.6369,0.9996979,0.003795326,0.92404157,0.003593206,0.072020724,0.36966,4.17E-08,0.5880357,0.003729284,5.8138437,0.000490968,0.98909307,0.000482287,0.000690704,83.96897,0.003121963,3.722959,4.017569,592.2526,474.6098,17.488855
,1.9766971,1019.1307,1.6844056,0.4498437,680.82574,0.98940635,0.22821724,17.59962,0.038191766,0.060399227,0.3328191,0.000163847,0.52537835,0.012004435,5.909074,0.004649083,0.88298833,0.003204259,0.16589394,84.2133,0.009778815,3.3455198,3.9322603,606.9896,381.67746,109.90562
,1.882223,1043.8561,1.4327446,0.2006352,670.4751,0.99813163,0.03437996,4.4544845,0.006978571,0.06508641,0.35669312,0.003684872,0.540548,0.00828144,5.86459,0.000355974,0.87734216,0.001035417,0.005118191,83.94338,0.009014889,3.448936,4.011691,590.1263,436.0103,116.35469
,1.9571567,1022.6001,1.6313984,0.47670156,680.6894,0.99029493,0.24763793,16.519218,0.0330126,0.058838613,0.3271423,0.000685284,0.51850307,0.012180418,5.922558,0.003872879,0.889233,0.003794204,0.13335775,84.06584,0.009874997,3.2843943,3.936304,602.7942,388.927,137.22421
,0.006184638,1.167984,0.02720663,5.7652965,3.8780384,0.001457751,4.967089,20.061241,0.018876642,0.05199825,0.001435367,5.01E-07,0.006095863,0.015114337,5.8861747,0.021577675,0.011905188,0.002197861,4.2033763,89.56899,0.069494545,0.005841494,0.001959296,605.883,135.41954,4.00545
,5.04E-05,1056.2487,1.1517904,0.14661849,651.1756,0.99811155,0.28043687,2.45753,0.009650856,0.058538966,0.35275552,0.6999998,0.49138394,0.01949796,5.84913,0.000189461,0.727522,0.001213663,0.011731751,83.542114,0.015881265,3.6415296,4.015931,597.2241,376.24576,717.4984
,1.9998413,1055.6581,1.5909095,0.07957816,719.7382,0.99955624,0.006015599,1.1479211,0.003594071,0.07041614,0.36374637,8.34E-08,0.5887121,0.003836125,5.822075,0.000687663,0.9699413,0.000600144,0.001195211,84.04209,0.003005842,3.7021377,4.0162897,592.1666,463.77985,21.517197
,0.006994367,1070.0568,1.071743,0.017800927,567.8774,0.99992734,0.000914931,0.20051897,0.000907123,0.0753034,0.43112317,0.6996253,0.46088853,0.003930777,5.780708,6.82E-07,0.8590003,7.50E-05,1.76E-06,83.369865,0.006618802,3.497623,4.019956,570.8743,521.4548,317.68747
,1.9380733,1015.9676,1.6073129,0.45382977,667.662,0.9904505,0.22736192,17.304169,0.030951262,0.056553565,0.3256057,0.001540443,0.52441955,0.012385309,5.913975,0.00300256,0.8729476,0.003265503,0.119141154,83.973495,0.010082059,3.343521,3.9483724,603.3647,387.63687,146.82597
,1.9642751,1028.0839,1.4541447,0.28312355,674.5295,0.9954117,0.07811785,8.259636,0.011756629,0.060205262,0.34075084,0.000626454,0.53096974,0.007912904,5.893977,0.001150657,0.859704,0.001898031,0.02982292,84.03456,0.008382309,3.422186,3.9898973,596.6047,411.0256,105.948105
,0.000970006,1011.8413,1.3113565,0.40715635,611.53845,0.98766387,1.3525739,8.752044,0.025140554,0.050510995,0.3065303,0.6999873,0.4727443,0.024993926,5.919084,0.001750293,0.75323606,0.004485709,0.27848014,83.915146,0.024374068,3.4382463,3.960299,610.67267,328.56,693.4632
,1.9488721,1006.33826,1.7335536,0.88028014,676.1318,0.98227227,0.44142157,25.471127,0.065630406,0.06312795,0.31939313,0.000197789,0.49659103,0.016820878,5.928735,0.008780576,0.8992068,0.004708945,0.42219645,84.49643,0.012482611,3.1043625,3.83637,610.3716,354.32654,120.85527
,1.9992095,1052.9929,1.5291663,0.110027194,708.4176,0.99932045,0.009174645,1.6412923,0.005288839,0.067940064,0.3646485,1.02E-06,0.5634421,0.004308522,5.8342032,0.000540243,0.92585015,0.000699163,0.002005675,83.990425,0.004237839,3.627038,4.015182,594.7177,452.74496,33.373405
,4.53E-06,1068.8226,0.92061406,0.05775839,614.4573,0.99960065,0.05915761,0.69205403,0.004811585,0.06516889,0.39231548,0.7,0.48439017,0.009291738,5.8034267,2.40E-05,0.69060314,0.000289673,0.000509298,83.337204,0.0094454,3.6941504,4.0194774,584.5433,410.55667,748.0489
,0.005512297,1.3239276,0.030861855,5.8693557,5.33162,0.001944006,3.9195,17.514814,0.02953419,0.055462353,0.001294904,2.09E-07,0.007759452,0.015450627,5.875475,0.024885723,0.013029587,0.002303037,4.2101617,89.58279,0.06382616,0.005720735,0.002476496,609.38086,136.15666,3.5714571
,1.7264295,1035.1572,1.4290955,0.2750501,662.4714,0.9945688,0.11628866,8.25511,0.013014495,0.05923605,0.35074612,0.022094484,0.52234566,0.009788156,5.9014397,0.000724322,0.84407383,0.002096153,0.02511557,83.99499,0.010024877,3.363885,3.9934597,595.12506,416.0639,171.63272
,1.8960953,1042.1451,1.4437184,0.20991415,666.70776,0.99662495,0.053921342,6.1277723,0.008069128,0.06261677,0.3526558,0.003237078,0.5353905,0.008998752,5.8798,0.000555579,0.8703741,0.001551234,0.010539566,83.99166,0.009492699,3.4223354,4.004938,591.7362,430.45532,119.03268
,0.001308084,0.01824975,0.002585292,4.1989045,0.20269781,1.58E-05,4.1037264,9.592732,0.003048897,0.026535768,0.000195066,2.09E-08,0.000578094,0.009673178,5.903619,0.010137515,0.00098275,0.000748518,4.2222557,89.63936,0.08463287,0.000206113,2.61E-05,611.10443,118.26026,0.20007679
,4.41E-05,1048.283,1.0974942,0.15453547,658.38196,0.9973552,0.5243644,2.8987443,0.010909975,0.054073006,0.32352397,0.6999998,0.4789676,0.019287288,5.855456,0.000363654,0.7150581,0.001959686,0.025692437,83.67352,0.01534557,3.6402764,4.009581,598.0424,354.59665,723.25934
,0.17881924,1044.6494,1.3009266,0.16644448,614.58563,0.9977986,0.048448145,4.3542614,0.007972509,0.06429779,0.37695584,0.6767686,0.50425696,0.012216479,5.841702,0.000101349,0.80987334,0.001049815,0.002802021,83.76883,0.013709508,3.369123,4.014991,593.1264,449.3019,299.6704
,1.8873029,1024.2548,1.55243,0.41959584,669.29205,0.99101543,0.2738759,17.032732,0.023834467,0.056543995,0.33303192,0.004322299,0.51822597,0.012929589,5.923656,0.002428704,0.85357714,0.003618394,0.11156598,84.00916,0.011982855,3.3408237,3.9486923,602.24457,387.2528,172.3194
,0.017939627,1062.9067,1.1619815,0.04877746,588.5657,0.999652,0.006206334,0.7451743,0.002453834,0.07159571,0.4131287,0.6988142,0.47358045,0.006003499,5.8017716,5.96E-06,0.82002383,0.000229947,5.57E-05,83.53754,0.010333149,3.4377577,4.0196385,582.44653,496.42862,345.3713
,0.32569462,1058.4459,1.1925285,0.03708452,605.974,0.999668,0.003048778,0.59637576,0.002260119,0.07398225,0.41793486,0.57198745,0.46888074,0.005861014,5.8021197,6.83E-06,0.85785586,0.000247879,3.39E-05,83.546455,0.008410724,3.424871,4.0195894,573.05865,509.976,186.07695
,0.004626632,0.14870167,0.00774765,4.6146765,0.7030514,0.000139624,5.5639415,13.485673,0.005199313,0.03444205,0.0006283,1.88E-07,0.001836085,0.013788343,5.902203,0.012734043,0.003121817,0.001266695,4.2072883,89.592125,0.07903574,0.001364231,0.000215889,605.4493,124.13451,1.3748677
,0.002115071,1030.0845,1.3481933,0.4115045,635.215,0.9911231,0.8917138,10.2521,0.020268708,0.053025734,0.32611498,0.6999749,0.4812469,0.023592949,5.9053125,0.000894952,0.74661547,0.004736204,0.11310787,83.79109,0.023158634,3.4746158,3.986567,605.9111,370.13214,643.49335
,0.003160775,0.0381732,0.003644139,4.159179,0.293594,3.84E-05,4.0869713,9.742458,0.00274834,0.027234893,0.000313019,4.17E-08,0.000912833,0.009767681,5.8907003,0.010368834,0.001431692,0.000840955,4.2165003,89.62139,0.07662706,0.000453949,5.48E-05,607.8402,118.81247,0.45039392
,0.003009379,1060.8406,1.1243472,0.055649877,568.5554,0.9994998,0.014939904,1.1516116,0.00329721,0.067400165,0.39986685,0.69991595,0.49369758,0.007470667,5.8064284,1.40E-05,0.78552455,0.000306707,0.000205484,83.49211,0.011056001,3.5189204,4.0192833,586.0513,471.0933,472.47144
,1.1361752,1002.1217,1.5713965,0.64514875,638.9793,0.98251104,0.61039627,24.623201,0.037909508,0.053747643,0.33397987,0.23305473,0.50606877,0.019782633,5.938843,0.002965219,0.82486933,0.005877807,0.23770103,84.067665,0.01820118,3.2716699,3.9156194,603.44617,370.7799,317.0849
,0.26951748,1056.2653,1.2395513,0.08974075,608.26544,0.99921715,0.013563037,1.8155783,0.004566699,0.07071414,0.39622244,0.62950927,0.49258557,0.007404625,5.827876,2.83E-05,0.82889915,0.000399577,0.000299654,83.59577,0.011445438,3.4208453,4.018646,581.3314,486.88293,228.97382
,1.3831975,1030.6945,1.4278296,0.31393766,649.4227,0.9926292,0.1818642,11.271238,0.015980065,0.057516765,0.34439224,0.12391676,0.5161737,0.011025608,5.905045,0.000818637,0.82009786,0.002441035,0.044316225,83.97127,0.011459118,3.3859115,3.984891,600.32526,400.5009,239.82372
,0.31979764,1039.2161,1.3203273,0.21853447,618.2765,0.99605906,0.07645786,5.5019097,0.010295183,0.06230531,0.36694854,0.6254568,0.49842268,0.011785388,5.8644333,0.000196087,0.8010453,0.001437007,0.007779903,83.84195,0.013667237,3.373568,4.010642,592.7938,438.7702,306.59073
,1.9986241,1037.8444,1.7076269,0.15794039,716.6788,0.9974404,0.048804283,4.4961877,0.016165107,0.06607689,0.347007,1.23E-06,0.5689603,0.006202549,5.861854,0.002366288,0.9104402,0.001603949,0.025597008,84.13414,0.00495626,3.5639086,3.9966335,603.42676,423.92676,37.454056
,3.80E-05,1047.1086,1.1265085,0.16110837,670.4955,0.9966908,0.5281463,2.8800921,0.011508256,0.053824175,0.3185171,0.69999987,0.46410728,0.022303373,5.87158,0.00032748,0.72518927,0.00226276,0.03207316,83.62791,0.019146707,3.6358895,4.008726,601.57587,349.3579,736.2878
,1.9922346,1020.2651,1.7936221,0.38618594,711.748,0.9927937,0.14830977,12.663672,0.04483658,0.062294554,0.32606035,6.88E-06,0.5379667,0.011796206,5.8887496,0.006226569,0.8874148,0.003430849,0.15178387,84.31665,0.007257185,3.3612528,3.9335551,613.4326,392.79636,56.2467
,1.01E-06,1073.9629,0.86115485,0.029401481,591.24524,0.99990606,0.009475648,0.2508214,0.001697987,0.070428655,0.41322488,0.7,0.4667116,0.005081385,5.7855444,3.45E-06,0.72157776,7.32E-05,3.49E-05,83.20993,0.007172925,3.7031274,4.0199237,579.4199,443.32632,732.3517
,0.10532957,1037.4232,1.3172567,0.27363002,633.5118,0.9947514,0.14038235,8.14556,0.011530131,0.059978686,0.36235785,0.69013906,0.5038602,0.014233738,5.8831463,0.00024237,0.7960167,0.001859646,0.013921102,83.87234,0.015777664,3.3250213,4.007217,597.95105,423.75763,358.644
,4.65E-06,1056.8218,1.0722659,0.14716834,674.7481,0.9976814,0.5739242,2.5508265,0.011196345,0.05404334,0.32982752,0.7,0.45356575,0.021523327,5.867745,0.000349267,0.75471836,0.00177293,0.029058719,83.56877,0.022067375,3.6597638,4.0101805,606.2094,329.2541,772.07367
,0.003200412,0.4503858,0.01616165,5.3519726,2.1593409,0.000496894,4.1624727,15.458994,0.01345852,0.047911234,0.000732476,1.04E-07,0.003750301,0.012592644,5.8933616,0.019872624,0.006278807,0.001677605,4.2157297,89.60811,0.06850998,0.002282262,0.000722786,610.5999,128.23215,1.648502
,0.87121,1033.3717,1.4062333,0.25089383,640.37445,0.9948455,0.10865033,7.720289,0.011012048,0.06062429,0.3574991,0.33495992,0.51910615,0.011368901,5.888347,0.000387913,0.83643794,0.001885905,0.01695634,83.95269,0.012330022,3.4007087,4.005683,594.2201,425.77753,248.31743
,0.002174318,1058.2656,1.1941025,0.116071105,587.6041,0.99898785,0.048479438,2.7401652,0.00542739,0.06335978,0.38136023,0.6999532,0.510088,0.009773195,5.825896,4.97E-05,0.7690015,0.00056385,0.001552728,83.60127,0.011944278,3.5183568,4.017941,593.97534,436.00656,529.7975
,1.9731374,1023.9854,1.7731272,0.5278945,694.26276,0.9884037,0.26649535,18.25319,0.049230754,0.06330049,0.32873213,8.96E-05,0.52240217,0.014323026,5.90509,0.005955064,0.93336767,0.004501648,0.2174253,84.24368,0.009013763,3.2694283,3.8890765,609.3202,383.5633,103.092384
,1.990487,1028.9508,1.7477417,0.34649074,699.0962,0.9938774,0.14804006,13.093416,0.032678217,0.060562275,0.33563578,3.18E-05,0.5370139,0.010768741,5.8920603,0.004718915,0.87786204,0.003026089,0.097493224,84.10699,0.006832054,3.4050875,3.9599473,609.6469,398.01678,72.91512
,1.08E-05,1070.1464,0.9163043,0.03975928,581.9383,0.99981606,0.015175343,0.45624882,0.002714604,0.068746366,0.40319315,0.6999999,0.48535118,0.006031424,5.79077,7.43E-06,0.7187477,0.000141542,8.96E-05,83.304924,0.008579102,3.6645842,4.019803,581.24774,445.893,695.31964
,1.9979753,1035.8828,1.8439498,0.26382208,727.33246,0.9962375,0.07306039,7.222664,0.038615674,0.065711826,0.33422673,6.26E-07,0.54760975,0.010116607,5.862893,0.005460864,0.92299265,0.002565809,0.079246365,84.24443,0.005715932,3.4914207,3.9655135,612.83496,416.1397,34.455
,0.015606642,1046.1489,1.3103995,0.22698194,611.8697,0.997318,0.11199117,5.6506534,0.008457422,0.060228515,0.367605,0.6994369,0.51421005,0.0122495,5.8554397,0.000140452,0.7939914,0.001303756,0.007947694,83.75201,0.015162457,3.3990073,4.013039,597.51434,419.05478,474.2566
,1.9657943,1045.7144,1.3899424,0.15201867,676.4116,0.99845135,0.021527708,3.5581117,0.006420672,0.065787755,0.360616,0.000437614,0.53269035,0.005860418,5.859206,0.000337158,0.86254334,0.00096823,0.003401328,83.96083,0.006820519,3.437282,4.0123215,589.6242,446.21677,85.803505
,1.9972402,1032.7092,1.7816749,0.22776872,715.1579,0.9957198,0.08376688,8.167503,0.030171841,0.0634673,0.33960593,2.63E-06,0.5546635,0.009312004,5.8773026,0.004476427,0.898679,0.00256595,0.06557374,84.165726,0.00668984,3.4709044,3.9743407,609.44226,411.25504,47.13898
,0.004037559,0.26637554,0.012333244,5.690686,1.3439372,0.000271499,5.8313293,16.66709,0.009515554,0.042360283,0.000783871,2.92E-07,0.002759028,0.015117049,5.898416,0.016656268,0.005056399,0.001713557,4.209925,89.59165,0.0807211,0.001952529,0.00046173,605.4263,128.27893,1.9498581
,0.029049098,1069.4951,1.1326251,0.011567771,563.2796,0.99994963,0.00038594,0.12311101,0.000677824,0.0775498,0.43773896,0.6968657,0.45111066,0.003398746,5.7798967,3.55E-07,0.88610095,5.79E-05,6.30E-07,83.343834,0.007356706,3.4616034,4.0199714,567.3914,528.8238,235.20541
,1.7662473,1054.236,1.3480214,0.09493232,655.87,0.99908924,0.010514259,1.6537088,0.003542036,0.07087539,0.38885608,0.009346384,0.50609076,0.006915331,5.8362517,6.91E-05,0.85616773,0.000642295,0.000487489,83.82991,0.00831915,3.4365206,4.0178022,578.202,481.82526,110.51391
,0.002219677,0.06231308,0.005381584,4.8338947,0.51666945,5.30E-05,4.902086,14.229866,0.005662739,0.03170479,0.000396466,6.26E-08,0.001282859,0.013539463,5.9086003,0.01237269,0.002059418,0.001224812,4.2195244,89.61321,0.09448297,0.000607252,0.000114893,608.8813,123.84414,0.5601612
,0.5448967,1025.4385,1.4111949,0.33056587,631.9371,0.9930172,0.17174333,13.125121,0.0137389,0.057616733,0.35286012,0.5436439,0.5096503,0.013930917,5.900378,0.00057238,0.81084216,0.002317868,0.039188452,83.89907,0.016327742,3.3413916,3.9933884,600.7397,406.4886,281.78265
,0.003286302,0.027229786,0.002569288,3.0212893,0.19023716,2.44E-05,4.2102203,7.203376,0.001511723,0.021434834,0.000260719,2.09E-08,0.000577331,0.008860767,5.910456,0.0083157,0.000914407,0.000568322,4.2116694,89.62372,0.08989083,0.000365376,3.37E-05,604.30347,116.40591,0.37720746
,0.004986703,0.13991475,0.007332265,4.544392,0.66130936,0.000143528,5.353913,13.043367,0.004444689,0.033231407,0.000605543,1.88E-07,0.001767397,0.013939202,5.9027424,0.012631637,0.003126031,0.001193423,4.2074885,89.59135,0.07979597,0.001274824,0.0001972,603.3745,125.03175,1.2640553
,0.6352462,1051.6544,1.3018788,0.117343664,632.18854,0.9988569,0.016315281,1.9979542,0.004079491,0.06964331,0.38894436,0.4222764,0.4984367,0.007979274,5.833506,4.76E-05,0.84360415,0.000663722,0.000661457,83.74309,0.01014789,3.4233243,4.0177836,582.39307,475.81442,200.83179
,1.9592309,1035.8997,1.442182,0.21755695,678.4262,0.99671566,0.04694462,6.47609,0.00932619,0.06152566,0.3483413,0.000620946,0.5367437,0.006584674,5.8759484,0.000693029,0.86504,0.001456804,0.016297784,84.005196,0.007144792,3.439642,4.0043316,592.885,426.34045,93.633736
,1.3496553,1060.6384,1.2506965,0.043590367,634.6508,0.99973565,0.002232194,0.5911219,0.002071917,0.07654931,0.41004914,0.06095863,0.4933548,0.005070597,5.8035994,1.12E-05,0.86093193,0.000245194,3.73E-05,83.58694,0.00648327,3.4719393,4.019547,567.60876,507.75336,106.10826
,1.9928657,1028.4482,1.6838653,0.2984792,697.3484,0.9945147,0.11460185,10.668446,0.02749309,0.061414294,0.33348966,1.99E-05,0.5396427,0.009585083,5.896537,0.003621314,0.87947863,0.002661642,0.08090474,84.14397,0.008077484,3.4264588,3.9606628,607.20123,397.62772,74.7689
